metrica,sin_coord,onda_verde,adaptativo
demora_prom_s,72.1,48.5,37.5
velocidad_kmh,28.3,33.0,35.8
pct_detenido,32.2,22.5,19.1
paradas_por_veh,1.47,1.0,0.79
throughput_veh_h,1336.0,1367.0,1435.0
indice_coordinacion,33.0,52.0,62.0
